%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0,0.580359,0.142728,0,0.432618,0.511001,0,0.147941,0.794156,0,0,0,0,0.177077,0.363457,0,0.563333,0.375978,0,0.121797,0.798541,0,0.135545,0.252416,0,0.793343,0.336041,accident
0,0.616501,0.199976,0,0.316181,0.367605,0,0.248921,0.536132,0,0.326241,0.339623,0,0.153598,0.386011,0,0.625532,0.2,0,0.534644,0.670032,0,0.141109,0.411463,0,0.57765,0.478679,accident
0,0.457547,0.363636,0,0.533752,0.401369,0,0.185706,0.788108,0,0.471698,0.931818,0,0.478401,0.370801,0,0.516187,0.362217,0,0.262686,0.327393,0,0.298631,0.374254,0,0.59972,0.559147,accident
0,0.708248,0.46075,0,0.462578,0.452682,0,0.106737,0.823261,0,0.272321,0.274621,0,0.168007,0.452565,0,0.549946,0.552118,0,0.399312,0.524664,0,0.0992842,0.280947,0,0.859127,0.572861,accident
0,0.737418,0.50189,0,0.38802,0.490871,0,0.276571,0.738075,0,0.33908,0.322139,0,0.274916,0.277555,0,0.781609,0.691542,0,0.275069,0.404335,0,0.11473,0.191183,0,0.816377,0.54828,accident
0,0,0,0,0.679545,0.313732,0,0.07,0.843902,0,0,0,0,0.325,0.0609756,0,0.442,0.519207,0,0.255556,0.872629,0,0.692233,0.325281,0,0.860817,0.282169,accident
0,0.901464,0.745968,0,0.416208,0.474497,0,0,0,0,0.683251,0.360215,0,0.86192,0.142266,0,0.26874,0.653147,0,0.225225,0.693548,0,0,0,0,0.676144,0.230255,accident
0,0.909144,0.829167,0,0.282003,0.305155,0,0,0,0,0.630648,0.455727,0,0.293896,0.0386831,0,0.263958,0.594184,0,0.230453,0.59037,0,0.527778,0.55,0,0.787346,0.360247,accident
0,0.930233,0.881579,0,0.363952,0.598338,0,0,0,0,0.663123,0.530982,0,0.434109,0.289474,0,0.296554,0.580574,0,0.127907,0.129325,0,0.388593,0.377022,0,0.655294,0.255168,accident
0,0.934211,0.90625,0,0.458563,0.390802,0,0,0,0,0.756036,0.347644,0,0.429825,0.291667,0,0.266947,0.577954,0,0.203582,0.273003,0,0.434211,0.570312,0,0.682266,0.282031,accident
